Study_Hours,Attendance,Previous_Year_CGPA,Social_Media_Usage,Courses_Registered
2.5,68,6.5,4.0,5
3.0,72,7.0,3.5,6
4.5,80,7.8,2.0,5
5.0,85,8.2,1.5,5
1.5,60,6.0,5.0,4
3.5,75,7.5,2.5,6
6.0,90,8.5,1.0,5
4.0,78,7.2,2.0,6
2.0,65,6.2,4.5,4
5.5,88,8.0,1.5,5
3.2,70,6.8,3.0,5
6.5,92,8.8,1.0,6
4.8,83,7.9,1.8,5
1.8,63,5.9,4.8,4
2.8,67,6.5,4.0,5
5.8,89,8.1,1.3,5
3.6,76,7.3,2.4,5
4.2,81,7.6,2.0,6
2.4,66,6.4,4.2,4
6.2,91,8.6,1.2,6
3.9,77,7.1,2.5,5
4.6,84,7.8,1.8,5
1.9,64,6.0,4.5,4
5.4,87,8.0,1.5,6
2.7,68,6.7,3.8,5
